original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0001,29,3.36,24,3.62,1,0.03,54,7.01
STT_GR_0002,11,1.69,419,34.66,6,0.49,436,36.84
STT_GR_0003,0,0.0,419,46.11,4,0.26,423,46.37
STT_GR_0004,0,0.0,302,20.37,7,2.25,309,22.62
STT_GR_0005,0,0.0,117,15.7,1,0.17,118,15.87
STT_GR_0006,0,0.0,110,8.36,8,2.43,118,10.79
STT_GR_0007,0,0.0,189,14.64,6,1.7,195,16.34
STT_GR_0008,0,0.0,175,16.59,14,4.05,189,20.64
STT_GR_0009,0,0.0,122,7.76,8,1.36,130,9.12
STT_GR_0010,0,0.0,481,43.06,9,3.33,490,46.39
STT_GR_0011,8,0.9,180,22.75,60,8.87,248,32.52
STT_GR_0012,12,0.28,406,34.71,26,4.49,444,39.48
STT_GR_0013,0,0.0,108,9.04,0,0.0,108,9.04
STT_GR_0014,91,10.94,154,19.46,7,1.75,252,32.15
STT_GR_0015,94,7.72,72,8.17,5,1.4,171,17.29
STT_GR_0016,121,12.87,90,10.68,15,3.26,226,26.81
STT_GR_0017,129,7.19,68,9.16,4,1.01,201,17.36
STT_GR_0018,16,0.6,30,2.4,3,0.21,49,3.21
STT_GR_0019,254,18.04,140,15.76,57,7.55,451,41.35
STT_GR_0020,42,5.83,58,7.26,0,0.0,100,13.09
STT_GR_0021,166,15.91,128,13.82,9,2.18,303,31.91
STT_GR_0022,249,22.88,287,32.49,16,2.2,552,57.57
STT_GR_0023,164,16.25,132,15.17,7,0.81,303,32.23
STT_GR_0024,188,17.04,135,15.9,30,4.87,353,37.81
STT_GR_0025,96,5.45,64,6.2,4,0.68,164,12.33
STT_GR_0026,34,4.08,142,18.81,5,0.49,181,23.38
STT_GR_0027,0,0.0,131,17.01,2,0.34,133,17.35
STT_GR_0028,91,7.76,130,17.25,7,0.52,228,25.53
STT_GR_0029,185,13.65,107,13.76,4,0.61,296,28.02
STT_GR_0030,37,1.86,94,7.11,3,0.18,134,9.15
STT_GR_0031,53,6.27,55,7.6,5,0.51,113,14.38
STT_GR_0032,12,1.08,18,1.01,19,2.03,49,4.12
STT_GR_0033,45,1.16,103,3.24,5,0.19,153,4.59
STT_GR_0034,2450,92.53,31,0.97,4,0.19,2485,93.69
STT_GR_0035,2227,84.87,21,0.58,9,0.2,2257,85.65
STT_GR_0036,797,34.58,10,0.47,0,0.0,807,35.05
STT_GR_0037,1755,72.25,20,0.52,6,0.15,1781,72.92
STT_GR_0038,1398,57.26,26,0.8,3,0.07,1427,58.13
