original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,accepted_count,accepted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0001,0,0.0,10,1.63,14,2.0,1,0.03,25,3.66
STT_GR_0002,0,0.0,245,14.89,65,4.01,4,0.05,314,18.95
STT_GR_0003,2,0.49,116,9.24,144,14.01,1,0.01,263,23.75
STT_GR_0004,0,0.0,234,11.75,0,0.0,1,0.01,235,11.76
STT_GR_0005,1,0.02,21,3.61,39,3.74,0,0.0,61,7.37
STT_GR_0006,0,0.0,72,5.12,0,0.0,1,0.02,73,5.14
STT_GR_0007,0,0.0,133,6.97,0,0.0,0,0.0,133,6.97
STT_GR_0008,0,0.0,107,9.05,0,0.0,4,0.64,111,9.69
STT_GR_0009,0,0.0,86,4.53,0,0.0,0,0.0,86,4.53
STT_GR_0010,0,0.0,270,19.25,40,4.18,0,0.0,310,23.43
STT_GR_0011,1,0.01,4,0.62,50,6.27,31,2.44,86,9.34
STT_GR_0012,0,0.0,157,10.75,0,0.0,5,0.28,162,11.03
STT_GR_0013,0,0.0,71,4.36,0,0.0,0,0.0,71,4.36
STT_GR_0014,0,0.0,108,12.56,0,0.0,0,0.0,108,12.56
STT_GR_0015,1,0.16,2,0.13,58,6.02,1,0.03,62,6.34
STT_GR_0016,1,0.16,2,0.44,57,5.48,2,0.04,62,6.12
STT_GR_0017,0,0.0,80,5.61,0,0.0,1,0.02,81,5.63
STT_GR_0018,0,0.0,1,0.19,0,0.0,0,0.0,1,0.19
STT_GR_0019,0,0.0,87,7.67,0,0.0,41,2.54,128,10.21
STT_GR_0020,0,0.0,14,2.38,0,0.0,0,0.0,14,2.38
STT_GR_0021,0,0.0,123,10.48,20,2.52,3,0.06,146,13.06
STT_GR_0022,0,0.0,186,15.91,0,0.0,1,0.01,187,15.92
STT_GR_0023,0,0.0,119,10.67,0,0.0,2,0.38,121,11.05
STT_GR_0024,0,0.0,116,12.62,0,0.0,71,4.39,187,17.01
STT_GR_0025,0,0.0,16,0.44,0,0.0,1,0.01,17,0.45
STT_GR_0026,0,0.0,23,3.19,11,0.89,0,0.0,34,4.08
STT_GR_0028,0,0.0,41,3.39,31,1.78,0,0.0,72,5.17
STT_GR_0029,0,0.0,10,0.87,76,7.08,1,0.01,87,7.96
STT_GR_0030,0,0.0,37,1.86,0,0.0,0,0.0,37,1.86
STT_GR_0031,0,0.0,18,1.86,0,0.0,1,0.12,19,1.98
STT_GR_0032,1,0.1,0,0.0,1,0.03,9,0.91,11,1.04
STT_GR_0033,1,0.01,0,0.0,43,1.12,1,0.03,45,1.16
STT_GR_0034,15,0.54,614,23.36,684,25.39,15,0.48,1328,49.77
STT_GR_0035,5,0.09,747,30.14,214,7.88,8,0.15,974,38.26
STT_GR_0036,4,0.48,123,4.45,180,7.8,1,0.05,308,12.78
STT_GR_0037,2,0.07,375,15.46,272,13.57,3,0.1,652,29.2
STT_GR_0038,1,0.07,161,6.5,58,2.32,7,0.49,227,9.38
STT_GR_0039,2,0.07,1,0.08,38,2.03,2,0.14,43,2.32
STT_GR_0040,1,0.14,1,0.09,19,0.98,1,0.07,22,1.28
STT_GR_0041,0,0.0,1,0.05,0,0.0,0,0.0,1,0.05
STT_GR_0042,0,0.0,7,0.78,0,0.0,0,0.0,7,0.78
STT_GR_0044,0,0.0,140,6.11,0,0.0,0,0.0,140,6.11
STT_GR_0045,3,0.2,216,12.31,37,2.68,2,0.06,258,15.25
STT_GR_0046,0,0.0,54,3.92,0,0.0,0,0.0,54,3.92
